Country/Territory,IMF[1][12],IMF[1][12],World Bank[13],World Bank[13],United Nations[14],United Nations[14]
Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
Colombia,427766,2025,363540,2023,343939,2022
Hong Kong,423999,[n 5]2025,382055,2023,359838,2022
South Africa,410338,2025,377782,2023,405270,2022
Romania,403395,2025,351003,2023,300690,2022
Czech Republic,360244,2025,330858,2023,290527,2022
Egypt,347342,2025,395926,2023,409306,2022
Chile,343823,2025,335533,2023,300686,2022
Pakistan,—,—,338368,2023,326796,2022
Portugal,321440,2025,287080,2023,254849,2022
Finland,303945,2025,300187,2023,282511,2022
Peru,303293,2025,267603,2023,242631,2022
Kazakhstan,300538,2025,261421,2023,225496,2022
Algeria,268885,2025,239899,2023,191912,2022
Greece,267348,2025,238206,2023,217285,2022
Iraq,258020,2025,250843,2023,264182,2022
New Zealand,248666,2025,253466,2023,245845,2022
Hungary,237070,2025,212389,2023,177337,2022
Qatar,222776,2025,235770,2022,237101,2022
Ukraine,205742,[n 6]2025,178757,[n 6]2023,160502,[n 6]2022
Nigeria,188271,2025,362815,2023,475058,2022
Morocco,165835,2025,141109,2023,130912,2022
Kuwait,153101,2025,161772,2023,175363,2022
Cuba,—,—,—,—,147193,2022
Slovakia,147031,2025,132794,2023,115304,2022
Uzbekistan,132484,2025,90889,2023,80391,2022
Kenya,131673,2025,107441,2023,113419,2022
Dominican Republic,127828,2025,121444,2023,113537,2022
Ecuador,125677,2025,118845,2023,115049,2022
Puerto Rico,122522,2025,117902,2023,113434,2022
Guatemala,121177,2025,102050,2023,95003,2022
Ethiopia,117457,2025,163698,2023,118971,2022
Bulgaria,117007,2025,101584,2023,90213,2022
Angola,113343,2025,84773,2023,113304,2022
Venezuela,108511,2025,—,—,129313,2022
Oman,104351,2025,108192,2023,114666,2022
Costa Rica,102591,2025,86498,2023,68380,2022
Croatia,98951,2025,82689,2023,71552,2022
Luxembourg,96613,2025,85755,2023,81530,2022
Ivory Coast,94483,2025,78789,2023,70018,2022
Serbia,92549,2025,75187,2023,63563,2022
Panama,91675,2025,83382,2023,76522,2022
Lithuania,89192,2025,77836,2023,70878,2022
Turkmenistan,89054,2025,59887,2023,67009,2022
Ghana,88332,2025,76370,2023,73766,2022
Tanzania,85977,2025,79158,2023,73535,[n 7]2022
Sri Lanka,—,—,84357,2023,76187,2022
Uruguay,79731,2025,77241,2023,71171,2022
DR Congo,79119,2025,66383,2023,62551,2022
Azerbaijan,78870,2025,72356,2023,78721,2022
Slovenia,75224,2025,68217,2023,59981,2022
Belarus,71561,2025,71857,2023,72873,2022
Myanmar,64944,2025,64815,2023,65211,2022
Uganda,64277,2025,49273,2023,48243,2022
Bolivia,56339,2025,45850,2023,44008,2022
Tunisia,56291,2025,48530,2023,46181,2022
Jordan,56102,2025,50814,2023,47452,2022
Cameroon,56011,2025,47946,2023,44341,2022
Macau,53354,[n 8]2025,47062,2023,24042,2022
Cambodia,49799,2025,31773,2023,29504,2022
Bahrain,47829,2025,43205,2023,44382,2022
Libya,47484,2025,50492,2023,40537,2022
Nepal,46080,2025,40908,2023,39406,2022
Latvia,45535,2025,43627,2023,40876,2022
Paraguay,45465,2025,42956,2023,41722,2022
Estonia,45004,2025,40745,2023,38049,2022
Cyprus,38736,[n 9]2025,32230,[n 9]2023,29210,[n 9]2022
Honduras,38172,2025,34401,2023,31717,2022
Zimbabwe,38172,2025,26538,2023,26418,2022
El Salvador,36749,2025,34016,2023,32488,2022
Georgia,35353,[n 10]2025,30536,[n 10]2023,24605,[n 10]2022
Iceland,35309,2025,31020,2023,28064,2022
Senegal,34728,2025,31014,2023,27775,2022
Haiti,33548,2025,19851,2023,18751,2022
Papua New Guinea,32835,2025,30933,2022,31609,2022
Sudan,31506,2025,109327,2023,36729,2022
Guinea,30094,2025,23612,2023,20846,2022
Zambia,28910,2025,28163,2023,29136,2022
Bosnia and Herzegovina,28807,2025,27055,2023,24473,2022
Albania,28372,2025,22978,2023,18916,2022
Burkina Faso,27056,2025,20325,2023,19176,2022
Trinidad and Tobago,26467,2025,28140,2023,30053,2022
Armenia,26258,2025,24212,2023,19513,2022
Guyana,25822,2025,16786,2023,14718,2022
Mongolia,25804,2025,19872,2023,17146,2022
Malta,25750,2025,20957,2023,18100,2022
Mozambique,23771,2025,20625,2023,18406,2022
Mali,23208,2025,20905,2023,18827,2022
Benin,22236,2025,19673,2023,17396,2022
Niger,21874,2025,16819,2023,15414,2022
Jamaica,21411,2025,19423,2023,17097,2022
Nicaragua,21155,2025,17829,2023,15671,2022
Gabon,20391,2025,20516,2023,20132,2022
Kyrgyzstan,19849,2025,13782,2023,12560,2022
Moldova,19462,[n 11]2025,16539,[n 11]2023,14510,[n 11]2022
Botswana,19400,2025,19396,2023,20352,2022
Chad,18792,2025,13149,2023,16799,2022
Madagascar,18708,2025,16032,2023,14954,2022
Palestine,18602,[n 12]2023,17396,[n 12]2023,19111,[n 13]2022
Syria,—,—,8980,2021,18595,2022
Lebanon,—,—,17937,2023,39303,2022
North Macedonia,17885,2025,14761,2023,13711,2022
Yemen,17401,2025,—,—,11007,2022
Laos,16322,2025,15843,2023,15362,2022
Brunei,16007,2025,15128,2023,16681,2022
Mauritius,15495,2025,14397,2023,12898,2022
Congo,15281,2025,15321,2023,15344,2022
Bahamas,15178,2025,14339,2023,12897,2022
North Korea,—,—,—,—,15176,2022
Tajikistan,14836,2025,12061,2023,10492,2022
Rwanda,14771,2025,14098,2023,13312,2022
Afghanistan,—,—,14502,2022,14174,2022
Namibia,14214,2025,12351,2023,12607,2022
Malawi,13959,2025,14084,2023,12558,2022
Somalia,12994,2025,11680,2023,10420,2022
Equatorial Guinea,12684,2025,12117,2023,11767,2022
Mauritania,11470,2025,10453,2023,10997,2022
Kosovo,11274,2025,10438,2023,9397,2022
Togo,10023,2025,9171,2023,8087,2022
New Caledonia,—,—,9623,2022,9623,2022
Monaco,—,—,8784,2022,8772,2022
Montenegro,8562,2025,7405,2023,6229,2022
Sierra Leone,8386,2025,3810,2023,3481,2022
Bermuda,—,—,7828,2022,7546,2022
Barbados,7552,2025,6394,2023,5699,2022
Maldives,7480,2025,6600,2023,6170,2022
Liechtenstein,—,—,7365,2022,7757,2022
Burundi,6745,2025,2642,2023,4032,2022
Cayman Islands,—,—,6601,2022,6281,2022
Fiji,6257,2025,5495,2023,4979,2022
French Polynesia,—,—,5815,2022,5814,2022
Eswatini,5483,2025,4598,2023,4326,2022
Liberia,5166,2025,4332,2023,3265,2022
Djibouti,4587,2025,4099,2023,4003,2022
Suriname,4506,2025,3782,2023,3620,2022
Aruba,4100,2025,3545,2022,3544,2022
Andorra,4035,2025,3728,2023,3376,2022
South Sudan,3998,2025,—,—,4616,2022
Belize,3611,2025,3282,2023,2830,2022
Bhutan,3422,2025,2898,2022,2898,2022
Curaçao,—,—,3074,2022,3075,2022
Central African Republic,2932,2025,2555,2023,2395,2022
Greenland,—,—,3236,2021,2926,2022
Cape Verde,2786,2025,2587,2023,2314,2022
Gambia,2771,2025,2340,2023,2231,2022
Saint Lucia,2632,2025,2520,2023,2165,2022
Lesotho,2404,2025,2046,2023,2287,2022
Eritrea,—,—,—,—,2383,2022
Antigua and Barbuda,2373,2025,2033,2023,1770,2022
Zanzibar,—,—,—,—,2361,2022
Guinea-Bissau,2274,2025,1966,2023,1574,2022
Seychelles,2198,2025,2141,2023,1994,2022
Timor-Leste,2115,2025,2243,2023,3204,2022
San Marino,2047,2025,1855,2021,1780,2022
Solomon Islands,1707,2025,1631,2023,1597,2022
Sint Maarten,—,—,1623,2023,1572,2022
Comoros,1548,2025,1352,2023,1246,2022
Grenada,1464,2025,1320,2023,1192,2022
Turks and Caicos Islands,—,—,1402,2023,1138,2022
Vanuatu,1267,2025,1126,2023,985,2022
Saint Vincent and the Grenadines,1242,2025,1066,2023,946,2022
Samoa,1160,2025,934,2023,857,2022
Saint Kitts and Nevis,1129,2025,1077,2023,979,2022
São Tomé and Príncipe,864,2025,603,2023,546,2022
Dominica,742,2025,654,2023,612,2022
Tonga,568,2025,500,2022,488,2022
Micronesia,500,2025,460,2023,427,2022
Palau,333,2025,263,2023,225,2022
Kiribati,312,2025,279,2023,223,2022
Marshall Islands,297,2025,284,2023,279,2022
Nauru,169,2025,154,2023,147,2022
Tuvalu,65,2025,62,2023,59,2022
